Periodo;Tasa_interés;PIB;TRMb 2015;IPC;M1b 2015;TIB
2000-01;12,00;1265,07;146,61;8,25;879,75;7,48
2000-02;12,00;1265,07;148,68;8,89;877,18;9,57
2000-03;12,00;1265,07;149,10;9,73;895,68;10,05
2000-03;12,00;1265,07;149,10;9,73;895,68;10,05
2000-04;12,00;1304,62;151,43;9,96;907,14;10,22
2000-05;12,00;1304,62;156,68;10,00;945,20;10,56
2000-06;12,00;1304,62;161,60;9,68;969,79;10,90
2000-07;12,00;1364,00;164,74;9,29;984,75;12,12
2000-08;12,00;1364,00;166,72;9,10;960,83;12,41
2000-09;12,00;1364,00;168,73;9,20;961,41;12,38
2000-10;12,00;1364,35;165,90;8,99;960,63;11,23
2000-11;12,00;1364,35;162,85;8,82;1047,78;11,26
2000-12;12,00;1364,35;166,63;8,75;1274,45;12,30
2001-01;12,00;1388,62;170,84;8,49;1084,54;11,62
2001-02;12,00;1388,62;170,99;8,06;1043,86;11,38
2001-03;11,68;1388,62;173,69;7,81;1053,69;10,79
2001-04;11,50;1424,52;177,07;7,98;1042,29;10,89
2001-05;11,50;1424,52;178,88;7,87;1042,00;11,13
2002-01;8,32;1464,33;173,40;7,37;1179,83;8,15
2001-06;11,50;1424,52;175,74;7,93;1075,20;11,33
2001-07;11,47;1460,44;175,63;8,09;1052,21;11,20
2001-08;10,52;1460,44;174,46;8,03;1022,50;10,37
2001-09;9,77;1460,44;177,46;7,97;1035,64;9,41
2001-10;9,37;1464,51;176,88;8,01;1064,57;9,36
2001-11;8,95;1464,51;176,10;7,78;1124,67;8,99
2001-12;8,63;1464,51;175,83;7,65;1428,12;8,62
2002-01;8,32;1464,33;173,40;7,37;1179,83;8,15
2002-01;8,32;1464,33;173,40;7,37;1179,83;8,15
2002-02;8,00;1464,33;174,29;6,70;1223,58;7,73
2002-03;7,66;1464,33;173,96;5,89;1192,17;7,61
2002-04;6,72;1543,57;172,49;5,65;1226,04;6,60
2002-05;6,06;1543,57;176,09;5,84;1237,73;5,89
2002-06;5,52;1543,57;180,20;6,25;1316,99;5,36
2002-07;5,25;1602,82;191,06;6,16;1330,28;5,27
2002-07;5,25;1602,82;191,06;6,16;1330,28;5,27
2002-08;5,25;1602,82;201,77;5,98;1315,97;5,31
2002-09;5,25;1602,82;209,70;5,97;1307,75;5,27
2002-10;5,25;1622,08;215,54;6,37;1344,83;5,27
2002-11;5,25;1622,08;207,82;7,07;1365,24;5,19
2002-12;5,25;1622,08;214,55;6,99;1649,06;5,07
2003-01;5,64;1665,75;222,03;7,39;1465,86;5,58
2003-02;6,25;1665,75;224,99;7,24;1433,35;6,12
2003-03;6,25;1665,75;225,53;7,60;1437,75;6,18
2003-04;6,32;1700,76;223,07;7,85;1452,75;6,29
2003-05;7,25;1700,76;217,91;7,73;1394,12;7,32
2003-06;7,25;1700,76;215,47;7,21;1497,59;7,36
2003-07;7,25;1757,90;217,90;7,04;1514,52;7,40
2003-08;7,25;1757,90;218,54;7,26;1483,12;7,40
2003-09;7,25;1757,90;216,47;7,11;1500,63;7,38
2003-10;7,25;1794,92;219,22;6,58;1528,00;7,41
